RELEVE_NR,Sum_Herbs,Herbs-log,Sum_Herbs+Juv,Biomass,Biomass_log,Biomass_N,Biomass_P,Biomass_K,Biomass_Ca,Biomass_N/P,Biomass_N/K,Biomass_K/P,Soil_P,Soil_K,Soil_Ca,Soil_P_log,Soil_K_log,Soil_Ca_log,Soil_C/N,Soil_N/P,Soil_N/K,Soil_K/P,Soil_depth_categ,pH_KCl,CV_pH_KCl,Slope,Altitude,Canopy_E3,Radiation,Heat,TransDir     ,TransDif ,TransTot ,EIV_light,EIV_moisture,EIV_soil-reaction,EIV_nutrients,TWI,Vyber1,Vyber2,Vyber3,Vegtyp,Outliery,CoverE1
1,26,1.43,38,12.8,1.140,2.10,0.20,2.50,0.97,10.500,0.840,12.500,11,301,4224,1.079,2.480,3.626,33.810,0.034,0.001,27.364,5,5.28,0.283,4,412,80,0.8813,0.8575,3.72,2.83,6.55,5,4.38,6.68,4.31,3.353962045,1,0,1,3,0,20
2,13,1.15,16,9.9,1.037,2.16,0.19,2.11,0.42,11.368,1.024,11.105,13,177,538,1.146,2.250,2.732,19.867,0.029,0.002,13.615,4.5,3.24,0.079,24,458,80,0.9329,0.8138,4.05,2.83,6.88,4.71,4.64,4.67,3.69,2.419176751,0,0,1,2,0,25
3,14,1.18,15,15.2,1.210,1.20,0.18,1.76,0.82,6.667,0.682,9.778,34,260,1774,1.544,2.417,3.249,18.968,0.015,0.002,7.647,3,4.01,0.102,13,414,80,0.9161,0.8503,4.38,2.94,7.31,4.36,4.7,4.8,3.55,2.15958042,1,1,1,2,0,25
4,15,1.20,20,16.0,1.230,1.70,0.22,1.56,0.51,7.727,1.090,7.091,155,234,1333,2.193,2.371,3.125,18.529,0.002,0.001,1.510,3,3.77,0.188,21,379,75,0.9305,0.9477,3.48,2.96,6.44,5.26,4.38,5.53,3.56,1.651169536,0,1,1,1,0,30
5,13,1.15,14,20.7,1.336,1.78,0.20,1.86,0.14,8.900,0.957,9.300,153,184,562,2.188,2.267,2.751,19.675,0.003,0.002,1.203,3,3.50,0.026,0,374,70,0.8691,0.8691,3.73,3.15,6.88,6.14,4,5.33,3.46,4.741779788,1,1,1,1,0,35
6,16,1.23,19,46.4,1.676,1.96,0.20,2.25,0.22,9.800,0.871,11.250,71,257,882,1.857,2.412,2.946,17.175,0.005,0.001,3.620,6,3.80,0.048,10,380,65,0.9178,0.8834,3.59,3.40,6.99,6.19,4.35,6.75,5.06,2.42907987,0,0,1,1,0,60
7,17,1.26,22,49.2,1.701,1.76,0.23,2.00,0.24,7.652,0.880,8.696,59,220,652,1.778,2.344,2.815,17.655,0.007,0.002,3.729,7,3.48,0.050,6,373,65,0.8294,0.8034,4.49,2.87,7.36,6.19,4.25,6.09,4.33,2.946460695,0,0,1,1,0,70
8,21,1.34,22,48.7,1.696,1.50,0.19,2.11,0.29,7.895,0.711,11.105,31,202,1272,1.505,2.307,3.105,17.860,0.015,0.002,6.516,5,3.68,0.056,0,390,85,0.8691,0.8691,3.97,2.99,6.96,5.29,4.6,5.07,4.12,5.147244896,0,1,1,3,0,70
9,15,1.20,19,13.8,1.170,1.23,0.16,2.01,0.37,7.688,0.612,12.563,46,535,2527,1.672,2.729,3.403,21.017,0.013,0.001,11.630,3.5,4.24,0.098,38,255,80,0.6141,0.4226,3.61,2.92,6.53,5.47,4.36,5.46,3.5,2.886564905,0,0,1,3,0,15
10,14,1.18,18,79.1,1.904,1.36,0.18,1.20,0.27,7.556,1.133,6.667,92,278,1261,1.968,2.446,3.101,20.022,0.005,0.002,3.022,5,4.01,0.153,13,340,70,0.9053,0.9302,2.97,3.35,6.32,6.53,3.86,6,3,2.15958042,0,0,1,1,0,75
11,12,1.11,16,7.4,0.924,1.68,0.24,2.11,0.33,7.000,0.796,8.792,121,433,1756,2.086,2.637,3.245,19.344,0.008,0.002,3.579,2,3.83,0.083,29,368,85,0.7513,0.5807,2.95,2.76,5.71,5.67,4.17,4.9,3.5,1.283785311,0,0,1,1,0,8
14,30,1.49,33,14.2,1.182,1.51,0.19,2.27,0.46,7.947,0.665,11.947,35,347,2512,1.556,2.542,3.400,17.313,0.019,0.002,9.914,3.5,4.07,0.053,47,280,60,0.2611,0.4434,2.76,2.93,5.69,5.38,4.48,5.42,4.04,1.722723246,0,0,1,3,0,30
16,24,1.40,31,26.2,1.435,1.58,0.17,1.65,0.57,9.294,0.958,9.706,15,255,1079,1.204,2.408,3.033,17.698,0.030,0.002,17.000,2,3.61,0.056,33,392,75,0.8343,0.6351,4.10,2.92,7.02,5.44,4.43,4.72,3.5,1.125481228,1,0,1,3,0,60
18,13,1.15,16,72.2,1.865,1.98,0.18,2.54,0.47,11.000,0.780,14.111,170,524,3920,2.233,2.720,3.593,16.632,0.005,0.002,3.082,1.5,4.62,0.049,24,340,70,0.7971,0.9237,3.37,2.86,6.23,4.93,4.64,6.9,5.31,1.50288602,1,0,1,3,0,85
28,11,1.08,12,29.7,1.487,1.17,0.16,1.33,0.36,7.313,0.880,8.313,91,168,812,1.964,2.228,2.910,15.378,0.004,0.002,1.846,4.5,3.56,0.027,0,431,70,0.8691,0.8691,3.96,3.28,7.24,5.45,4.56,5,3.45,4.741779788,1,1,1,2,0,55
29,5,0.78,7,37.9,1.590,1.34,0.18,1.42,0.39,7.444,0.944,7.889,26,236,782,1.431,2.375,2.894,15.552,0.013,0.001,9.077,3,3.61,0.030,0,429,85,0.8691,0.8691,3.66,3.06,6.72,5.14,4.8,4,3.6,4.741779788,0,0,1,3,0,30
31,4,0.70,6,14.9,1.201,1.35,0.15,1.11,0.43,9.000,1.216,7.400,29,172,656,1.477,2.238,2.818,21.600,0.009,0.002,5.931,4.5,3.20,0.044,0,411,75,0.8797,0.8797,3.49,3.05,6.54,5.8,5,3.25,2.5,4.741779788,1,0,1,2,0,25
32,26,1.43,33,19.2,1.305,1.31,0.14,1.13,0.49,9.357,1.159,8.071,16,137,990,1.230,2.140,2.996,24.894,0.021,0.002,8.563,4,3.35,0.051,0,449,70,0.8797,0.8797,3.06,3.10,6.16,5.19,5.1,4.75,4.33,5.65807052,1,1,1,3,0,55
36,8,0.95,12,3.3,0.633,1.58,0.17,1.57,0.54,9.294,1.006,9.235,19,195,812,1.301,2.292,2.910,20.154,0.014,0.001,10.263,3.5,3.38,0.021,4,444,80,0.8939,0.9017,2.73,2.80,5.52,4.17,4.9,4.71,4.5,3.353962045,0,1,1,3,0,7
41,10,1.04,13,26.9,1.446,1.20,0.19,0.93,0.49,6.316,1.290,4.895,65,215,731,1.820,2.334,2.865,22.086,0.005,0.002,3.308,3,3.34,0.044,7,353,65,0.8849,0.8420,3.56,2.98,6.54,4.73,4.9,5.11,4.2,2.790983342,1,0,1,3,0,60
42,10,1.04,16,21.5,1.352,1.27,0.17,1.60,0.57,7.471,0.794,9.412,83,289,1668,1.924,2.462,3.222,23.163,0.004,0.001,3.482,7,3.53,0.052,22,345,70,0.6590,0.7908,3.20,2.66,5.86,5.27,4.73,5.25,3.5,2.005448331,0,0,1,2,0,40
43,19,1.30,23,27.8,1.459,1.49,0.22,1.72,0.59,6.773,0.866,7.818,17,180,736,1.255,2.258,2.867,20.316,0.024,0.002,10.588,4,3.90,0.042,9,309,80,0.8879,0.8329,2.96,2.84,5.81,4.38,4.84,6.19,4.72,2.536392735,0,0,1,3,0,60
44,23,1.38,24,34.1,1.545,1.23,0.11,1.04,0.57,11.182,1.183,9.455,68,196,832,1.839,2.294,2.921,21.984,0.005,0.002,2.882,2.5,3.50,0.062,21,359,55,0.7809,0.9030,4.60,3.19,7.78,6.45,4,4.85,2.6,2.567460268,0,1,1,2,0,45
47,9,1.00,16,15.5,1.217,1.41,0.18,1.06,0.54,7.833,1.330,5.889,70,226,1686,1.851,2.356,3.227,20.185,0.005,0.001,3.229,2.5,3.87,0.019,20,340,80,0.9489,0.9216,4.45,3.18,7.64,5.21,4.91,5.18,3.27,2.1098462,0,0,1,2,0,25
81,34,1.54,37,20.6,1.334,1.16,0.18,1.99,0.36,6.444,0.583,11.056,90,249,1550,1.959,2.398,3.191,24.156,0.004,0.002,2.767,2,4.54,0.117,25,283,40,0.9598,0.8879,4.09,3.64,7.73,6.94,3.52,4.77,2.76,4.095691787,1,1,1,1,0,30
82,31,1.51,39,33.9,1.543,1.15,0.21,1.77,0.29,5.476,0.650,8.429,171,219,1021,2.236,2.342,3.009,24.764,0.002,0.001,1.281,5,3.57,0.027,31,301,75,0.7603,0.5748,3.74,2.95,6.69,5.81,4.33,6.25,4.41,1.608625972,0,0,1,1,0,30
83,9,1.00,15,22.1,1.364,1.74,0.27,2.61,0.74,6.444,0.667,9.667,64,212,781,1.813,2.328,2.893,23.778,0.008,0.002,3.313,6,3.62,0.020,28,339,85,0.8150,0.9427,3.32,2.47,5.79,4.5,4.91,5.14,4.7,13.17089315,1,1,1,3,0,45
86,32,1.52,37,46.9,1.680,0.94,0.12,1.48,0.24,7.833,0.635,12.333,35,205,707,1.556,2.314,2.850,23.537,0.008,0.001,5.857,4,3.74,0.016,14,376,80,0.9324,0.8844,3.24,3.20,6.44,5.03,4.87,6,5.55,2.775808166,1,1,1,3,0,40
87,34,1.54,43,42.9,1.642,0.96,0.16,1.94,0.3,6.000,0.495,12.125,114,137,1144,2.061,2.140,3.059,24.565,0.002,0.002,1.202,5.5,4.15,0.098,23,408,65,0.9023,0.9575,3.75,2.95,6.70,5.4,4.45,6.55,4.69,1.550615705,0,0,1,3,0,65
89,15,1.20,22,5.1,0.785,1.95,0.25,2.79,0.73,7.800,0.699,11.160,36,107,404,1.568,2.033,2.607,18.802,0.006,0.002,2.972,4,3.82,0.054,22,356,75,0.9028,0.9556,4.21,2.97,7.18,5.89,4.5,6.22,5.47,1.599983223,1,1,1,3,0,15
98,27,1.45,32,27.4,1.453,1.15,0.19,1.41,0.45,6.053,0.816,7.421,111,303,2592,2.049,2.483,3.414,32.111,0.002,0.001,2.730,4.5,4.41,0.153,7,388,75,0.8471,0.8056,4.11,2.71,6.82,5.15,4.63,5.85,4.12,2.790983342,0,0,1,3,0,40
99,18,1.28,24,64.8,1.818,1.36,0.2,2.38,0.69,6.800,0.571,11.900,68,179,1021,1.839,2.255,3.009,27.306,0.004,0.001,2.632,4,3.79,0.059,6,443,65,0.8680,0.8964,3.85,3.24,7.09,5.18,4.5,5.76,3.84,2.946460695,0,0,1,3,0,85
100,18,1.28,19,13.5,1.161,1.74,0.16,2.18,0.71,10.875,0.798,13.625,134,211,807,2.130,2.326,2.907,22.555,0.004,0.002,1.575,4,3.55,0.068,36,391,60,0.9642,0.8812,5.68,4.26,9.94,6.18,4.07,5.27,3.63,1.013275355,0,0,1,1,0,15
101,28,1.46,34,91.1,1.964,2.37,0.2,3.94,1.82,11.850,0.602,19.700,9,181,3572,1.000,2.260,3.553,27.944,0.020,0.001,20.111,7,6.67,0.038,6,287,50,0.8944,0.8994,4.59,3.01,7.60,4.89,5.23,6.7,5.9,4.045072984,1,1,1,6,0,90
102,37,1.58,50,57.4,1.766,2.26,0.2,3.09,0.93,11.300,0.731,15.450,16,156,2483,1.230,2.196,3.395,22.233,0.019,0.002,9.750,7,4.40,0.152,13,254,70,0.7155,0.7600,2.38,2.61,4.99,4.76,4.93,6.78,5.63,5.932341359,1,1,1,4,0,65
103,35,1.56,40,113.6,2.059,2.36,0.21,3.87,2.04,11.238,0.610,18.429,44,157,21790,1.653,2.199,4.338,15.706,0.029,0.008,3.568,7,7.13,0.007,0,212,50,0.8691,0.8691,3.31,2.72,6.03,6.45,7.17,6.83,6.75,11.09179252,1,1,1,6,0,80
104,25,1.41,36,187.7,2.276,2.33,0.23,3.4,1.29,10.130,0.685,14.783,8,85,29010,0.954,1.934,4.463,19.338,0.085,0.008,10.625,7,7.14,0.010,0,266,60,0.8691,0.8691,3.16,3.10,6.26,5.7,6.81,6.82,6.48,9.959429252,1,1,1,6,0,85
105,12,1.11,22,65.5,1.823,3.01,0.21,4.39,2.1,14.333,0.686,20.905,18,236,4597,1.279,2.375,3.663,14.894,0.026,0.002,13.111,5.5,6.78,0.016,17,240,70,0.7545,0.8622,3.61,2.76,6.37,4.61,5.06,7.07,6.29,7.431695556,1,1,1,5,0,80
106,16,1.23,16,33.6,1.539,3.50,0.28,5.67,1.16,12.500,0.617,20.250,60,116,1133,1.785,2.068,3.055,17.120,0.004,0.002,1.933,7,3.70,0.076,3,330,85,0.8859,0.8785,2.85,2.14,4.98,4.17,5.55,6.65,6.85,15.49542496,1,1,1,5,0,75
107,30,1.49,35,39.1,1.603,2.64,0.26,4.25,1.04,10.154,0.621,16.346,23,149,1305,1.380,2.176,3.116,18.190,0.009,0.001,6.478,7,4.22,0.115,2,350,85,0.8636,0.8517,2.78,2.60,5.38,4.44,5.41,6.62,6.24,15.89381827,1,1,1,4,0,70
