ID,CoverScaleName,COVERSCALE,COVER_CODE,CoverPercEVA,CoverPerc
1,Percetage %,00,0.1,0.1,0.1
2,Percetage %,00,0.2,0.2,0.2
3,Percetage %,00,0.3,0.3,0.3
4,Percetage %,00,0.4,0.4,0.4
5,Percetage %,00,0.5,0.5,0.5
6,Percetage %,00,0.6,0.6,0.6
7,Percetage %,00,0.7,0.7,0.7
8,Percetage %,00,0.8,0.8,0.8
9,Percetage %,00,0.9,0.9,0.9
10,Percetage %,00,1,1,1
11,Percetage %,00,2,2,2
12,Percetage %,00,3,3,3
13,Percetage %,00,4,4,4
14,Percetage %,00,5,5,5
15,Percetage %,00,6,6,6
16,Percetage %,00,7,7,7
17,Percetage %,00,8,8,8
18,Percetage %,00,9,9,9
19,Percetage %,00,10,10,10
20,Percetage %,00,11,11,11
21,Percetage %,00,12,12,12
22,Percetage %,00,13,13,13
23,Percetage %,00,14,14,14
24,Percetage %,00,15,15,15
25,Percetage %,00,16,16,16
26,Percetage %,00,17,17,17
27,Percetage %,00,18,18,18
28,Percetage %,00,19,19,19
29,Percetage %,00,20,20,20
30,Percetage %,00,21,21,21
31,Percetage %,00,22,22,22
32,Percetage %,00,23,23,23
33,Percetage %,00,24,24,24
34,Percetage %,00,25,25,25
35,Percetage %,00,26,26,26
36,Percetage %,00,27,27,27
37,Percetage %,00,28,28,28
38,Percetage %,00,29,29,29
39,Percetage %,00,30,30,30
40,Percetage %,00,31,31,31
41,Percetage %,00,32,32,32
42,Percetage %,00,33,33,33
43,Percetage %,00,34,34,34
44,Percetage %,00,35,35,35
45,Percetage %,00,36,36,36
46,Percetage %,00,37,37,37
47,Percetage %,00,38,38,38
48,Percetage %,00,39,39,39
49,Percetage %,00,40,40,40
50,Percetage %,00,41,41,41
51,Percetage %,00,42,42,42
52,Percetage %,00,43,43,43
53,Percetage %,00,44,44,44
54,Percetage %,00,45,45,45
55,Percetage %,00,46,46,46
56,Percetage %,00,47,47,47
57,Percetage %,00,48,48,48
58,Percetage %,00,49,49,49
59,Percetage %,00,50,50,50
60,Percetage %,00,51,51,51
61,Percetage %,00,52,52,52
62,Percetage %,00,53,53,53
63,Percetage %,00,54,54,54
