species,eiv_light,eiv_temperature,eiv_moisture,eiv_reaction,eiv_nutrients,eiv_salinity
Abies alba,3,5,6,5,6,0
Abutilon theophrasti,8,8,5,7,7,1
Acer campestre,5,6,5,7,6,0
Acer monspessulanum,6,8,3,8,4,0
Acer negundo,6,6,6,7,7,1
Acer platanoides,4,6,5,7,6,0
Acer pseudoplatanus,4,5,6,6,7,0
Acinos arvensis,9,7,2,7,2,0
Acinos arvensis ssp. arvensis,9,7,2,7,2,0
Acinos arvensis ssp. eglandulosus,9,7,2,7,2,0
Aconitum anthora,7,7,4,7,4,0
Aconitum firmum,5,4,7,6,6,0
Aconitum firmum ssp. moravicum,5,4,7,6,6,0
Aconitum lycoctonum,4,5,7,7,7,0
Aconitum lycoctonum ssp. lycoctonum,4,5,7,7,7,0
Aconitum lycoctonum ssp. vulparia,4,5,7,7,7,0
Aconitum napellus agg.,6,3,7,6,6,0
Aconitum plicatum,6,3,7,6,6,0
Aconitum variegatum,5,4,7,7,7,0
Acorus calamus,8,6,10,7,7,1
Actaea europaea,4,5,5,8,7,0
Actaea spicata,3,5,5,6,7,0
Adenophora liliifolia,6,6,5,7,5,0
Adenostyles alliariae,5,3,6,5,7,0
Adenostyles alliariae ssp. alliariae,5,3,6,5,7,0
Adonis aestivalis,8,7,3,8,5,0
Adonis aestivalis ssp. aestivalis,8,7,3,8,5,0
Adonis flammea,8,7,3,8,4,0
Adonis vernalis,8,7,3,8,2,0
Adoxa moschatellina,3,5,6,7,8,0
Aegopodium podagraria,6,5,6,7,8,1
Aesculus hippocastanum,4,6,5,6,7,0
Aethusa cynapium,6,5,5,7,7,0
Aethusa cynapium ssp. cynapium,7,5,5,7,7,0
Aethusa cynapium ssp. elata,5,5,6,7,8,0
Agrimonia eupatoria,7,6,4,8,4,1
Agrimonia eupatoria ssp. eupatoria,7,6,4,8,4,1
Agrimonia procera,6,6,5,6,5,0
Agropyron pectinatum,9,8,2,8,3,0
Agrostemma githago,7,6,4,6,6,0
Agrostis alpina,8,2,5,6,4,0
Agrostis canina,7,5,9,3,2,0
Agrostis canina agg.,7,6,6,3,2,0
Agrostis capillaris,7,5,4,4,4,0
Agrostis gigantea,7,5,6,7,6,1
Agrostis rupestris,8,2,4,2,1,0
Agrostis rupestris ssp. rupestris,8,2,4,2,1,0
Agrostis stolonifera,7,5,7,6,5,1
Agrostis stolonifera agg.,7,5,7,6,5,1
Agrostis vinealis,8,6,3,3,2,0
Achillea asplenifolia,8,7,6,7,6,3
Achillea collina,7,6,4,5,4,1
Achillea millefolium,7,5,5,6,5,1
Achillea millefolium agg.,7,5,5,6,5,1
Achillea millefolium ssp. millefolium,7,5,5,6,5,1
Achillea millefolium ssp. sudetica,7,4,5,6,5,0
Achillea nobilis,8,7,3,8,2,0
Achillea pannonica,8,7,3,8,3,1
Achillea pratensis,7,5,5,5,6,1
Achillea ptarmica,7,5,8,4,4,0
Achillea setacea,9,7,2,7,2,0
Achillea styriaca,7,6,4,6,4,0
Ailanthus altissima,7,8,5,7,7,1
Aira caryophyllea,9,6,2,4,2,0
Aira praecox,8,6,3,2,2,0
Ajuga genevensis,7,6,4,7,3,0
Ajuga chamaepitys,8,8,3,8,4,0
Ajuga chamaepitys ssp. chamaepitys,8,8,3,8,4,0
Ajuga pyramidalis,7,5,5,1,2,0
Ajuga reptans,5,5,6,6,6,0
Alcea biennis,8,7,4,8,4,1
Alcea biennis ssp. biennis,8,7,4,8,4,1
Aldrovanda vesiculosa,5,8,12,7,4,0
Alchemilla crinita,7,3,6,5,4,0
Alchemilla glabra,6,4,5,6,6,0
Alchemilla glaucescens,7,6,5,4,4,0
Alchemilla monticola,6,5,5,6,4,0
Alchemilla subcrenata,7,4,5,5,6,0
Alchemilla vulgaris,6,4,5,6,6,0
Alchemilla xanthochlora,6,4,7,7,4,0
Alisma gramineum,7,7,11,7,5,1
Alisma lanceolatum,7,7,10,7,7,1
Alisma plantago-aquatica,7,5,10,7,8,1
Alliaria petiolata,5,6,5,7,8,0
Allium angulosum,7,7,8,7,5,2
Allium carinatum,7,5,5,7,4,1
Allium flavum,8,7,2,7,2,0
Allium flavum ssp. flavum,8,7,2,7,2,0
Allium oleraceum,6,6,4,7,4,0
Allium paradoxum,6,6,5,7,7,0
Allium paradoxum var. normale,6,6,5,7,7,0
Allium paradoxum var. paradoxum,6,6,5,7,7,0
Allium rotundum,7,7,4,8,4,0
Allium rotundum ssp. rotundum,7,7,4,8,4,0
Allium sativum,8,7,5,7,6,1
Allium scorodoprasum,6,6,6,7,7,0
Allium senescens,8,7,2,6,3,0
Allium senescens ssp. montanum,8,7,2,6,3,0
Allium schoenoprasum,7,5,7,6,4,0
Allium schoenoprasum ssp. schoenoprasum,7,5,7,6,4,0
Allium sphaerocephalon,8,8,3,8,3,0
Allium sphaerocephalon ssp. sphaerocephalon,8,8,3,8,3,0
Allium strictum,9,6,2,7,2,0
Allium ursinum,3,6,6,7,8,0
Allium ursinum ssp. ucrainicum,3,6,6,7,8,0
Allium ursinum ssp. ursinum,3,6,6,7,8,0
Allium victorialis,6,3,5,6,5,0
Allium vineale,6,7,4,7,6,1
Alnus alnobetula,7,3,6,4,5,0
Alnus glutinosa,5,5,9,6,7,1
Alnus incana,5,4,7,6,6,0
Alnus incana ssp. incana,5,4,7,6,6,0
Alopecurus aequalis,8,5,9,6,8,2
Alopecurus geniculatus,8,6,9,7,7,1
Alopecurus myosuroides,7,6,5,7,7,0
Alopecurus pratensis,7,5,6,6,7,1
Althaea hirsuta,7,8,4,8,3,1
Althaea officinalis,7,7,7,8,6,4
Alyssum alyssoides,9,6,3,8,3,0
Alyssum montanum,9,7,2,8,2,0
Alyssum montanum ssp. gmelinii,9,7,2,8,2,0
