SPECIES_NR,LETTERCODE,SYNONYM,TurbovegCzechiaSlovakia,Kaplan,ExpertSystem,nonvascular
14321,*CONC*C,FALSE,x Conygeron huelsenii,x Conyzigeron huelsenii,x Conyzigeron huelsenii,0
14323,*DACD*A,FALSE,x Dactylodenia gracilis,x Dactylogymnadenia gracilis,x Dactylogymnadenia gracilis,0
14324,*DACD*A,TRUE,x Dactylodenia st.-quintinii,x Dactylogymnadenia gracilis,x Dactylogymnadenia gracilis,0
14322,*DACD*D,FALSE,x Dactylodenia comigera,x Dactylogymnadenia comigera,x Dactylogymnadenia comigera,0
14325,*DATD*D,FALSE,x Dactyloglossum erdingeri,x Dactyloglossum erdingeri,x Dactyloglossum erdingeri,0
14327,*FESF*E,FALSE,x Festulolium loliaceum,x Festulolium loliaceum,x Festulolium loliaceum,0
14326,*FESF*F,FALSE,x Festulolium braunii,x Festulolium braunii,x Festulolium braunii,0
14328,*GYMG*G,FALSE,x Gymnanacamptis anacamptis,x Gymnanacamptis anacamptis,x Gymnanacamptis anacamptis,0
14329,*ORCO*O,FALSE,x Orchidactyla boudieri,x Dactylocamptis boudieri,x Dactylocamptis boudieri,0
14330,*PSEP*P,FALSE,x Pseudadenia schweinfurthii,x Pseudadenia schweinfurthii,x Pseudadenia schweinfurthii,0
14331,*PSUP*P,FALSE,x Pseudorhiza nieschalkii,x Pseudorhiza nieschalkii,x Pseudorhiza nieschalkii,0
90000,AAAAAAA,FALSE,AAAAAAA,AAAAAAA,AAAAAAA,0
1,ABIEALB,FALSE,Abies alba,Abies alba,Abies alba,0
13013,ABIECEP,FALSE,Abies cephalonica,Abies cephalonica,Abies cephalonica,0
13014,ABIECON,FALSE,Abies concolor,Abies concolor,Abies concolor,0
12251,ABIEGRA,FALSE,Abies grandis,Abies grandis,Abies grandis,0
13015,ABIEHOM,FALSE,Abies homolepis,Abies homolepis,Abies homolepis,0
13016,ABIENOR,FALSE,Abies nordmanniana,Abies nordmanniana,Abies nordmanniana,0
2,ABIE-SP,FALSE,,Abies species,Abies species,0
24,ABUT-SP,FALSE,Abutilon species,Abutilon species,Abutilon species,0
23,ABUTTHE,FALSE,Abutilon theophrasti,Abutilon theophrasti,Abutilon theophrasti,0
26,ACAL-SP,FALSE,Acalypha species,Acalypha species,Acalypha species,0
25,ACALVIR,FALSE,Acalypha virginica,Acalypha virginica,Acalypha virginica,0
13017,ACANBAL,FALSE,Acanthus balcanicus,Acanthus hungaricus,Acanthus hungaricus,0
90,ACEAANT,FALSE,Aceras anthropophorum,Aceras anthropophorum,Aceras anthropophorum,0
91,ACEA-SP,FALSE,Aceras species,Aceras species,Aceras species,0
80,ACERCAM,FALSE,Acer campestre,Acer campestre,Acer campestre,0
13018,ACERGIN,FALSE,Acer ginnala,Acer ginnala,Acer ginnala,0
13019,ACERJAP,FALSE,Acer japonicum,Acer japonicum,Acer japonicum,0
81,ACERMON,FALSE,Acer monspessulanum,Acer monspessulanum,Acer monspessulanum,0
82,ACERNEG,FALSE,Acer negundo,Acer negundo,Acer negundo,0
13020,ACERPAL,FALSE,Acer palmatum,Acer palmatum,Acer palmatum,0
83,ACERPLA,FALSE,Acer platanoides,Acer platanoides,Acer platanoides,0
84,ACERPSE,FALSE,Acer pseudoplatanus,Acer pseudoplatanus,Acer pseudoplatanus,0
85,ACERPSU,FALSE,"Acer pseudoplatanus mod. ""prostrata""","Acer pseudoplatanus mod. ""prostrata""","Acer pseudoplatanus mod. ""prostrata""",0
86,ACERSAC,FALSE,Acer saccharinum,Acer saccharinum,Acer saccharinum,0
87,ACERSAH,FALSE,Acer saccharum,Acer saccharum,Acer saccharum,0
89,ACER-SP,FALSE,Acer species,Acer species,Acer species,0
88,ACERTAT,FALSE,Acer tataricum,Acer tataricum,Acer tataricum,0
94,ACHI#AT,FALSE,Achillea atrata agg.,Achillea atrata agg.,Achillea atrata agg.,0
106,ACHI#MI,FALSE,Achillea millefolium agg.,Achillea millefolium agg.,Achillea millefolium agg.,0
13038,ACHI*IN,FALSE,Achillea x incognita (A. millefolium x pannonica),Achillea x incognita,Achillea x incognita,0
92,ACHIAGE,FALSE,Achillea ageratum,Achillea ageratum,Achillea ageratum,0
93,ACHIASP,FALSE,Achillea aspleniifolia,Achillea asplenifolia,Achillea asplenifolia,0
95,ACHIATR,FALSE,Achillea atrata,Achillea atrata,Achillea atrata,0
13035,ACHIC*P,FALSE,Achillea collina x pratensis,Achillea collina x pratensis,Achillea collina x pratensis,0
13036,ACHICHR,FALSE,Achillea chrysocoma,Achillea chrysocoma,Achillea chrysocoma,0
96,ACHICLA,FALSE,Achillea clavennae,Achillea clavennae,Achillea clavennae,0
97,ACHICLU,FALSE,Achillea clusiana,Achillea clusiana,Achillea clusiana,0
13034,ACHICLY,FALSE,Achillea clypeolata,Achillea clypeolata,Achillea clypeolata,0
98,ACHICOL,FALSE,Achillea collina,Achillea collina,Achillea millefolium agg.,0
99,ACHICRI,FALSE,Achillea crithmifolia,Achillea crithmifolia,Achillea crithmifolia,0
101,ACHID-D,FALSE,Achillea distans ssp. distans,Achillea distans ssp. distans,Achillea distans ssp. distans,0
100,ACHIDIS,FALSE,Achillea distans,Achillea styriaca,Achillea styriaca,0
102,ACHID-S,FALSE,Achillea distans ssp. styriaca,Achillea styriaca,Achillea styriaca,0
103,ACHIFIL,FALSE,Achillea filipendulina,Achillea filipendulina,Achillea filipendulina,0
104,ACHIGRA,FALSE,Achillea grandifolia,Achillea grandifolia,Achillea grandifolia,0
13037,ACHIM*P,FALSE,Achillea millefolium x pratensis,Achillea millefolium subsp. millefolium x pratensis,Achillea millefolium subsp. millefolium x pratensis,0
105,ACHIMAC,FALSE,Achillea macrophylla,Achillea macrophylla,Achillea macrophylla,0
107,ACHIMIL,FALSE,Achillea millefolium,Achillea millefolium,Achillea millefolium agg.,0
108,ACHIM-M,FALSE,Achillea millefolium ssp. millefolium,Achillea millefolium subsp. millefolium,Achillea millefolium subsp. millefolium,0
110,ACHIMOS,FALSE,Achillea moschata,Achillea moschata,Achillea moschata,0
109,ACHIM-S,FALSE,Achillea millefolium ssp. sudetica,Achillea millefolium subsp. sudetica,Achillea millefolium subsp. sudetica,0
112,ACHIN-N,FALSE,Achillea nobilis ssp. neilreichii,Achillea nobilis,Achillea nobilis,0
111,ACHINOB,FALSE,Achillea nobilis,Achillea nobilis,Achillea nobilis,0
113,ACHIOCH,FALSE,Achillea ochroleuca,Achillea ochroleuca,Achillea ochroleuca,0
114,ACHIOXY,FALSE,Achillea oxyloba,Achillea oxyloba,Achillea oxyloba,0
115,ACHIPAN,FALSE,Achillea pannonica,Achillea pannonica,Achillea pannonica,0
116,ACHIPRA,FALSE,Achillea pratensis,Achillea pratensis,Achillea millefolium agg.,0
117,ACHIPTA,FALSE,Achillea ptarmica,Achillea ptarmica,Achillea ptarmica,0
118,ACHIROS,FALSE,Achillea roseoalba,Achillea roseoalba,Achillea roseoalba,0
119,ACHISET,FALSE,Achillea setacea,Achillea setacea,Achillea setacea,0
122,ACHI-SP,FALSE,Achillea species,Achillea species,Achillea millefolium agg.,0
120,ACHISTR,FALSE,Achillea stricta,Achillea stricta,Achillea stricta,0
121,ACHITOM,FALSE,Achillea tomentosa,Achillea tomentosa,Achillea tomentosa,0
123,ACHNCAL,FALSE,Achnatherum calamagrostis,Achnatherum calamagrostis,Achnatherum calamagrostis,0
124,ACHN-SP,FALSE,Achnatherum species,Achnatherum species,Achnatherum species,0
127,ACINA-A,FALSE,Acinos arvensis ssp. arvensis,Acinos arvensis subsp. arvensis,Acinos arvensis subsp. arvensis,0
125,ACINALP,FALSE,Acinos alpinus,Acinos alpinus,Acinos alpinus,0
126,ACINARV,FALSE,Acinos arvensis,Acinos arvensis,Acinos arvensis,0
128,ACINA-V,FALSE,Acinos arvensis ssp. villosus,Acinos arvensis subsp. eglandulosus,Acinos arvensis subsp. eglandulosus,0
129,ACIN-SP,FALSE,Acinos species,Acinos species,Acinos species,0
137,ACON#NA,FALSE,Aconitum napellus agg.,Aconitum napellus agg.,Aconitum plicatum,0
144,ACON#VA,FALSE,Aconitum variegatum agg.,Aconitum variegatum,Aconitum variegatum,0
13022,ACON*CA,FALSE,Aconitum x cammarum,Aconitum x cammarum,Aconitum x cammarum,0
13023,ACON*EX,FALSE,Aconitum x exaltatum (A. plicatum x variegatum),Aconitum x exaltatum,Aconitum x exaltatum,0
130,ACONANT,FALSE,Aconitum anthora,Aconitum anthora,Aconitum anthora,0
131,ACONDEG,FALSE,Aconitum degenii,Aconitum degenii,Aconitum degenii,0
132,ACOND-P,FALSE,Aconitum degenii ssp. paniculatum,Aconitum degenii ssp. paniculatum,Aconitum degenii ssp. paniculatum,0
13021,ACONF*V,FALSE,Aconitum firmum ssp. moravicum x variegatum,Aconitum x berdaui nothosubsp. walasii,Aconitum x berdaui nothosubsp. walasii,0
148,ACONLAS,FALSE,Aconitum lasiocarpum,Aconitum lasiocarpum,Aconitum lasiocarpum,0
134,ACONL-M,FALSE,Aconitum lycoctonum ssp. moldavicum,Aconitum lycoctonum ssp. moldavicum,Aconitum lycoctonum ssp. moldavicum,0
135,ACONL-R,FALSE,Aconitum lycoctonum ssp. ranunculifolium,Aconitum lycoctonum ssp. ranunculifolium,Aconitum lycoctonum ssp. ranunculifolium,0
136,ACONL-V,FALSE,Aconitum lycoctonum ssp. vulparia,Aconitum lycoctonum subsp. lycoctonum,Aconitum lycoctonum subsp. lycoctonum,0
133,ACONLYC,FALSE,Aconitum lycoctonum,Aconitum lycoctonum,Aconitum lycoctonum,0
138,ACONNAP,FALSE,Aconitum napellus,Aconitum napellus agg.,Aconitum plicatum,0
139,ACONN-F,FALSE,Aconitum napellus ssp. formosum,Aconitum napellus ssp. formosum,Aconitum napellus ssp. formosum,0
152,ACONN-H,FALSE,Aconitu napellu ssp. hians sensu orig.,Aconitum plicatum,Aconitum plicatum,0
50045,ACONN-H,TRUE,Aconitum callibotryon,Aconitum plicatum,Aconitum plicatum,0
50092,ACONN-H,TRUE,Aconitum plicatum,Aconitum plicatum,Aconitum plicatum,0
149,ACONN-I,FALSE,"Aconitum napellus ssp. firmum ""firmum""",Aconitum firmum subsp. moravicum,Aconitum firmum subsp. moravicum,0
151,ACONN-M,FALSE,Aconitum napellus ssp. firmum s.lat.,Aconitum firmum subsp. moravicum,Aconitum firmum subsp. moravicum,0
140,ACONN-N,FALSE,Aconitum napellus ssp. neomontanum,Aconitum napellus ssp. neomontanum,Aconitum napellus ssp. neomontanum,0
150,ACONN-R,FALSE,"Aconitum napellus ssp. firmum ""moravicum""",Aconitum firmum subsp. moravicum,Aconitum firmum subsp. moravicum,0
141,ACONN-V,FALSE,Aconitum napellus ssp. vulgare,Aconitum napellus ssp. vulgare,Aconitum napellus ssp. vulgare,0
142,ACONPIL,FALSE,Aconitum pilipes,Aconitum pilipes,Aconitum pilipes,0
153,ACON-SP,FALSE,Aconitum species,Aconitum species,Aconitum species,0
143,ACONTAU,FALSE,Aconitum tauricum,Aconitum tauricum,Aconitum tauricum,0
145,ACONVAR,FALSE,Aconitum variegatum,Aconitum variegatum,Aconitum variegatum,0
146,ACONV-N,FALSE,Aconitum variegatum ssp. nasutum,Aconitum variegatum ssp. nasutum,Aconitum variegatum ssp. nasutum,0
147,ACONV-V,FALSE,Aconitum variegatum ssp. variegatum,Aconitum variegatum,Aconitum variegatum,0
154,ACORCAL,FALSE,Acorus calamus,Acorus calamus,Acorus calamus,0
155,ACOR-SP,FALSE,Acorus species,Acorus species,Acorus species,0
165,ACRPREP,FALSE,Acroptilon repens,Rhaponticum repens,Rhaponticum repens,0
166,ACRP-SP,FALSE,Acroptilon species,Rhaponticum species,Rhaponticum species,0
168,ACTA-SP,FALSE,Actaea species,Actaea species,Actaea species,0
167,ACTASPI,FALSE,Actaea spicata,Actaea spicata,Actaea spicata,0
13024,ACTIDEL,FALSE,Actinidia deliciosa,Actinidia deliciosa,Actinidia deliciosa,0
177,ADENLIL,FALSE,Adenophora liliifolia,Adenophora liliifolia,Adenophora liliifolia,0
178,ADEN-SP,FALSE,Adenophora species,Adenophora species,Adenophora species,0
179,ADESALL,FALSE,Adenostyles alliariae,Adenostyles alliariae,Adenostyles alliariae,0
180,ADESGLA,FALSE,Adenostyles glabra,Adenostyles glabra,Adenostyles glabra,0
181,ADESLEU,FALSE,Adenostyles leucophylla,Adenostyles leucophylla,Adenostyles leucophylla,0
182,ADES-SP,FALSE,Adenostyles species,Adenostyles species,Adenostyles species,0
183,ADONAES,FALSE,Adonis aestivalis,Adonis aestivalis,Adonis aestivalis,0
184,ADONANN,FALSE,Adonis annua,Adonis annua,Adonis annua,0
185,ADONFLA,FALSE,Adonis flammea,Adonis flammea,Adonis flammea,0
187,ADON-SP,FALSE,Adonis species,Adonis species,Adonis species,0
186,ADONVER,FALSE,Adonis vernalis,Adonis vernalis,Adonis vernalis,0
188,ADOXMOS,FALSE,Adoxa moschatellina,Adoxa moschatellina,Adoxa moschatellina,0
189,ADOX-SP,FALSE,Adoxa species,Adoxa species,Adoxa species,0
190,AEGICYL,FALSE,Aegilops cylindrica,Aegilops cylindrica,Aegilops cylindrica,0
191,AEGIGEN,FALSE,Aegilops geniculata,Aegilops geniculata,Aegilops geniculata,0
192,AEGI-SP,FALSE,Aegilops species,Aegilops species,Aegilops species,0
193,AEGOPOD,FALSE,Aegopodium podagraria,Aegopodium podagraria,Aegopodium podagraria,0
194,AEGO-SP,FALSE,Aegopodium species,Aegopodium species,Aegopodium species,0
13027,AESC*CA,FALSE,Aesculus x carnea (A. hippocastanum x pavia),Aesculus x carnea,Aesculus x carnea,0
195,AESCHIP,FALSE,Aesculus hippocastanum,Aesculus hippocastanum,Aesculus hippocastanum,0
13025,AESCOCT,FALSE,Aesculus octandra,Aesculus flava,Aesculus flava,0
13026,AESCPAV,FALSE,Aesculus pavia,Aesculus pavia,Aesculus pavia,0
196,AESC-SP,FALSE,Aesculus species,Aesculus species,Aesculus species,0
197,AETHSAX,FALSE,Aethionema saxatile,Aethionema saxatile,Aethionema saxatile,0
198,AETH-SP,FALSE,Aethionema species,Aethionema species,Aethionema species,0
200,AETUC-A,FALSE,Aethusa cynapium ssp. agrestis,Aethusa cynapium,Aethusa cynapium s.lat.,0
201,AETUC-C,FALSE,Aethusa cynapium ssp. cynapioides,Aethusa cynapioides,Aethusa cynapium s.lat.,0
202,AETUC-Y,FALSE,Aethusa cynapium ssp. cynapium,Aethusa cynapium,Aethusa cynapium s.lat.,0
199,AETUCYN,FALSE,Aethusa cynapium,Aethusa cynapium agg.,Aethusa cynapium agg.,0
203,AETU-SP,FALSE,Aethusa species,Aethusa species,Aethusa species,0
