"","species_nr","lettercode","synonym","turboveg_czechia_slovakia","kaplan","expert_system","nonvascular","n"
"1",14321,"*CONC*C",FALSE,"x Conygeron huelsenii","x Conyzigeron huelsenii","x Conyzigeron huelsenii",0,NA
"2",14323,"*DACD*A",FALSE,"x Dactylodenia gracilis","x Dactylogymnadenia gracilis","x Dactylogymnadenia gracilis",0,NA
"3",14324,"*DACD*A",TRUE,"x Dactylodenia st.-quintinii","x Dactylogymnadenia gracilis","x Dactylogymnadenia gracilis",0,NA
"4",14322,"*DACD*D",FALSE,"x Dactylodenia comigera","x Dactylogymnadenia comigera","x Dactylogymnadenia comigera",0,NA
"5",14325,"*DATD*D",FALSE,"x Dactyloglossum erdingeri","x Dactyloglossum erdingeri","x Dactyloglossum erdingeri",0,NA
"6",14327,"*FESF*E",FALSE,"x Festulolium loliaceum","x Festulolium loliaceum","x Festulolium loliaceum",0,NA
"7",14326,"*FESF*F",FALSE,"x Festulolium braunii","x Festulolium braunii","x Festulolium braunii",0,NA
"8",14328,"*GYMG*G",FALSE,"x Gymnanacamptis anacamptis","x Gymnanacamptis anacamptis","x Gymnanacamptis anacamptis",0,NA
"9",14329,"*ORCO*O",FALSE,"x Orchidactyla boudieri","x Dactylocamptis boudieri","x Dactylocamptis boudieri",0,NA
"10",14330,"*PSEP*P",FALSE,"x Pseudadenia schweinfurthii","x Pseudadenia schweinfurthii","x Pseudadenia schweinfurthii",0,NA
"11",14331,"*PSUP*P",FALSE,"x Pseudorhiza nieschalkii","x Pseudorhiza nieschalkii","x Pseudorhiza nieschalkii",0,NA
"12",90000,"AAAAAAA",FALSE,"AAAAAAA","AAAAAAA","AAAAAAA",0,NA
"13",1,"ABIEALB",FALSE,"Abies alba","Abies alba","Abies alba",0,4
"14",13013,"ABIECEP",FALSE,"Abies cephalonica","Abies cephalonica","Abies cephalonica",0,NA
"15",13014,"ABIECON",FALSE,"Abies concolor","Abies concolor","Abies concolor",0,NA
"16",12251,"ABIEGRA",FALSE,"Abies grandis","Abies grandis","Abies grandis",0,NA
"17",13015,"ABIEHOM",FALSE,"Abies homolepis","Abies homolepis","Abies homolepis",0,NA
"18",13016,"ABIENOR",FALSE,"Abies nordmanniana","Abies nordmanniana","Abies nordmanniana",0,NA
"19",2,"ABIE-SP",FALSE,NA,"Abies species","Abies species",0,NA
"20",24,"ABUT-SP",FALSE,"Abutilon species","Abutilon species","Abutilon species",0,NA
"21",23,"ABUTTHE",FALSE,"Abutilon theophrasti","Abutilon theophrasti","Abutilon theophrasti",0,NA
"22",26,"ACAL-SP",FALSE,"Acalypha species","Acalypha species","Acalypha species",0,NA
"23",25,"ACALVIR",FALSE,"Acalypha virginica","Acalypha virginica","Acalypha virginica",0,NA
"24",13017,"ACANBAL",FALSE,"Acanthus balcanicus","Acanthus hungaricus","Acanthus hungaricus",0,NA
"25",90,"ACEAANT",FALSE,"Aceras anthropophorum","Aceras anthropophorum","Aceras anthropophorum",0,NA
"26",91,"ACEA-SP",FALSE,"Aceras species","Aceras species","Aceras species",0,NA
"27",80,"ACERCAM",FALSE,"Acer campestre","Acer campestre","Acer campestre",0,88
"28",13018,"ACERGIN",FALSE,"Acer ginnala","Acer ginnala","Acer ginnala",0,NA
"29",13019,"ACERJAP",FALSE,"Acer japonicum","Acer japonicum","Acer japonicum",0,NA
"30",81,"ACERMON",FALSE,"Acer monspessulanum","Acer monspessulanum","Acer monspessulanum",0,NA
"31",82,"ACERNEG",FALSE,"Acer negundo","Acer negundo","Acer negundo",0,NA
"32",13020,"ACERPAL",FALSE,"Acer palmatum","Acer palmatum","Acer palmatum",0,NA
"33",83,"ACERPLA",FALSE,"Acer platanoides","Acer platanoides","Acer platanoides",0,83
"34",84,"ACERPSE",FALSE,"Acer pseudoplatanus","Acer pseudoplatanus","Acer pseudoplatanus",0,97
"35",85,"ACERPSU",FALSE,"Acer pseudoplatanus mod. ""prostrata""","Acer pseudoplatanus mod. ""prostrata""","Acer pseudoplatanus mod. ""prostrata""",0,NA
"36",86,"ACERSAC",FALSE,"Acer saccharinum","Acer saccharinum","Acer saccharinum",0,NA
"37",87,"ACERSAH",FALSE,"Acer saccharum","Acer saccharum","Acer saccharum",0,NA
"38",89,"ACER-SP",FALSE,"Acer species","Acer species","Acer species",0,NA
"39",88,"ACERTAT",FALSE,"Acer tataricum","Acer tataricum","Acer tataricum",0,NA
"40",94,"ACHI#AT",FALSE,"Achillea atrata agg.","Achillea atrata agg.","Achillea atrata agg.",0,NA
"41",106,"ACHI#MI",FALSE,"Achillea millefolium agg.","Achillea millefolium agg.","Achillea millefolium agg.",0,2
"42",13038,"ACHI*IN",FALSE,"Achillea x incognita (A. millefolium x pannonica)","Achillea x incognita","Achillea x incognita",0,NA
"43",92,"ACHIAGE",FALSE,"Achillea ageratum","Achillea ageratum","Achillea ageratum",0,NA
"44",93,"ACHIASP",FALSE,"Achillea aspleniifolia","Achillea asplenifolia","Achillea asplenifolia",0,NA
"45",95,"ACHIATR",FALSE,"Achillea atrata","Achillea atrata","Achillea atrata",0,NA
"46",13035,"ACHIC*P",FALSE,"Achillea collina x pratensis","Achillea collina x pratensis","Achillea collina x pratensis",0,NA
"47",13036,"ACHICHR",FALSE,"Achillea chrysocoma","Achillea chrysocoma","Achillea chrysocoma",0,NA
"48",96,"ACHICLA",FALSE,"Achillea clavennae","Achillea clavennae","Achillea clavennae",0,NA
"49",97,"ACHICLU",FALSE,"Achillea clusiana","Achillea clusiana","Achillea clusiana",0,NA
"50",13034,"ACHICLY",FALSE,"Achillea clypeolata","Achillea clypeolata","Achillea clypeolata",0,NA
"51",98,"ACHICOL",FALSE,"Achillea collina","Achillea collina","Achillea millefolium agg.",0,NA
"52",99,"ACHICRI",FALSE,"Achillea crithmifolia","Achillea crithmifolia","Achillea crithmifolia",0,NA
"53",101,"ACHID-D",FALSE,"Achillea distans ssp. distans","Achillea distans ssp. distans","Achillea distans ssp. distans",0,NA
"54",100,"ACHIDIS",FALSE,"Achillea distans","Achillea styriaca","Achillea styriaca",0,NA
"55",102,"ACHID-S",FALSE,"Achillea distans ssp. styriaca","Achillea styriaca","Achillea styriaca",0,NA
"56",103,"ACHIFIL",FALSE,"Achillea filipendulina","Achillea filipendulina","Achillea filipendulina",0,NA
"57",104,"ACHIGRA",FALSE,"Achillea grandifolia","Achillea grandifolia","Achillea grandifolia",0,NA
"58",13037,"ACHIM*P",FALSE,"Achillea millefolium x pratensis","Achillea millefolium subsp. millefolium x pratensis","Achillea millefolium subsp. millefolium x pratensis",0,NA
"59",105,"ACHIMAC",FALSE,"Achillea macrophylla","Achillea macrophylla","Achillea macrophylla",0,NA
"60",107,"ACHIMIL",FALSE,"Achillea millefolium","Achillea millefolium","Achillea millefolium agg.",0,NA
"61",108,"ACHIM-M",FALSE,"Achillea millefolium ssp. millefolium","Achillea millefolium subsp. millefolium","Achillea millefolium subsp. millefolium",0,NA
"62",110,"ACHIMOS",FALSE,"Achillea moschata","Achillea moschata","Achillea moschata",0,NA
