species,height_min,height_max,height_mean
x Sorbaronia fallax,2,7,4.5
Abies alba,20,60,40
Abies concolor,20,40,30
Abies grandis,25,70,47.5
Abies nordmanniana,20,50,35
Abutilon theophrasti,0.2,1.8,1
Acer campestre,5,10,7.5
Acer ginnala,2,7,4.5
Acer negundo,10,20,15
Acer palmatum,1,15,8
Acer platanoides,20,30,25
Acer pseudoplatanus,20,40,30
Acer saccharinum,20,35,27.5
Acer tataricum,2,8,5
Achillea asplenifolia,0.3,0.9,0.6
Achillea collina,0.15,0.7,0.425
Achillea crithmifolia,0.2,0.6,0.4
Achillea filipendulina,0.5,1.3,0.9
Achillea millefolium subsp. millefolium,0.2,1,0.6
Achillea millefolium subsp. sudetica,0.1,0.4,0.25
Achillea nobilis,0.15,0.6,0.375
Achillea pannonica,0.15,0.9,0.525
Achillea pratensis,0.2,0.9,0.55
Achillea ptarmica,0.3,1,0.65
Achillea setacea,0.15,0.5,0.325
Achillea styriaca,0.4,1,0.7
Achillea tomentosa,0.1,0.4,0.25
Acinos arvensis,0.07,0.4,0.235
Aconitum x cammarum,0.6,2,1.3
Aconitum anthora,0.25,1,0.625
Aconitum firmum,0.4,1.8,1.1
Aconitum lycoctonum,0.5,1.2,0.85
Aconitum plicatum,0.3,1.5,0.9
Aconitum variegatum,0.4,2,1.2
Acorus calamus,0.5,1.2,0.85
Actaea europaea,0.8,2,1.4
Actaea spicata,0.3,0.7,0.5
Adenophora liliifolia,0.4,0.9,0.65
Adenostyles alliariae,0.6,1.5,1.05
Adonis aestivalis subsp. aestivalis,0.2,0.6,0.4
Adonis annua subsp. annua,0.25,0.5,0.375
Adonis flammea,0.15,0.5,0.325
Adonis vernalis,0.1,0.4,0.25
Adoxa moschatellina,0.07,0.18,0.125
Aegilops cylindrica,0.15,0.45,0.3
Aegopodium podagraria,0.5,1,0.75
Aesculus x carnea,15,20,17.5
Aesculus hippocastanum,15,25,20
Aesculus pavia,4,10,7
Aethusa cynapioides,1,2.3,1.65
Aethusa cynapium agg.,0.05,1.1,0.575
Ageratina altissima,0.3,1.4,0.85
Ageratum houstonianum,0.12,0.6,0.36
Agrimonia eupatoria,0.15,1.5,0.825
Agrimonia procera,0.5,2,1.25
Agropyron pectinatum,0.3,0.6,0.45
Agrostemma githago,0.3,1,0.65
Agrostis alpina,0.1,0.3,0.2
Agrostis canina,0.1,0.7,0.4
Agrostis capillaris,0.1,0.8,0.45
Agrostis gigantea,0.3,1.3,0.8
Agrostis rupestris subsp. rupestris,0.05,0.2,0.125
Agrostis scabra,0.3,1.1,0.7
Agrostis stolonifera,0.1,1.2,0.65
Agrostis vinealis,0.1,0.5,0.3
Ailanthus altissima,20,25,22.5
Aira caryophyllea,0.04,0.35,0.195
Aira praecox,0.02,0.2,0.11
Ajuga chamaepitys subsp. chamaepitys,0.05,0.15,0.1
Ajuga chamaepitys subsp. chia,0.08,0.2,0.14
Ajuga genevensis,0.1,0.3,0.2
Ajuga pyramidalis,0.05,0.2,0.125
Ajuga reptans,0.08,0.25,0.165
Alcea biennis,0.5,1.7,1.1
Alcea rosea,1.2,3,2.1
Alchemilla acutiloba,0.1,0.4,0.25
Alchemilla baltica,0.1,0.3,0.2
Alchemilla conjuncta,0.1,0.2,0.15
Alchemilla crinita,0.1,0.25,0.175
Alchemilla cymatophylla,0.1,0.3,0.2
Alchemilla effusa,0.1,0.4,0.25
Alchemilla filicaulis,0.1,0.25,0.175
Alchemilla fissa,0.1,0.25,0.175
Alchemilla flabellata,0.1,0.25,0.175
Alchemilla glabra,0.1,0.3,0.2
Alchemilla glabricaulis,0.1,0.3,0.2
Alchemilla glaucescens,0.1,0.25,0.175
Alchemilla gruneica,0.1,0.4,0.25
Alchemilla micans,0.1,0.3,0.2
Alchemilla mollis,0.3,1,0.65
Alchemilla monticola,0.1,0.3,0.2
Alchemilla obtusa,0.1,0.4,0.25
Alchemilla plicata,0.1,0.25,0.175
Alchemilla propinqua,0.1,0.3,0.2
Alchemilla reniformis,0.1,0.3,0.2
Alchemilla speciosa,0.3,1,0.65
Alchemilla straminea,0.1,0.3,0.2
Alchemilla suavis,0.1,0.3,0.2
Alchemilla subcrenata,0.1,0.4,0.25
Alchemilla subglobosa,0.1,0.3,0.2
Alchemilla xanthochlora,0.1,0.4,0.25
Aldrovanda vesiculosa,0.05,0.3,0.175
Alisma gramineum,0.1,0.5,0.3
Alisma lanceolatum,0.2,1,0.6
Alisma plantago-aquatica,0.2,1.3,0.75
Alliaria petiolata,0.3,0.8,0.55
Allium x proliferum,0.3,0.8,0.55
Allium angulosum,0.2,0.45,0.325
Allium atropurpureum,0.4,1,0.7
Allium atroviolaceum,0.5,1.2,0.85
Allium carinatum,0.15,0.4,0.275
Allium cepa,0.6,1,0.8
Allium cristophii,0.5,0.6,0.55
Allium fistulosum,0.2,0.7,0.45
Allium flavum subsp. flavum,0.2,0.6,0.4
Allium giganteum,1.1,1.5,1.3
Allium hollandicum,0.4,0.8,0.6
Allium karataviense,0.1,0.25,0.175
Allium moly,0.3,0.4,0.35
Allium nutans,0.3,0.6,0.45
Allium oleraceum,0.25,0.8,0.525
Allium oreophilum,0.05,0.2,0.125
Allium paradoxum,0.15,0.3,0.225
Allium porrum,0.4,1.8,1.1
Allium roseum,0.1,0.7,0.4
Allium rotundum subsp. rotundum,0.2,0.8,0.5
Allium sativum,0.3,1,0.65
Allium schoenoprasum,0.1,0.4,0.25
Allium scorodoprasum,0.5,1,0.75
Allium senescens,0.1,0.4,0.25
