SPECIES_NR,LETTERCODE,SHORTNAME,ABBREVIAT,SYNONYM,VALID_NR
1,ABIEALB,Abies alba,Abies alba,FALSE,1
1533,BROMHAE,Bromus catharticus,Bromus willdenowii,TRUE,1534
2,ABIE-SP,Abies species,Abies species,FALSE,2
3,ABITABI,Abietinella abietina,Abietinella abietina,FALSE,3
4,ABITA;A,Abiet abiet var. abiet,Abietinella abietina var. abietina,FALSE,4
5,ABITA;H,Abiet abiet var. hystr,Abietinella abietina var. hystricosa,FALSE,5
6,ABIT-SP,Abietinella species,Abietinella species,FALSE,6
7,ABROBER,Abrothallus bertianus,Abrothallus bertianus,FALSE,7
8,ABROCAE,Abrothallus caerulesce,Abrothallus caerulescens,FALSE,8
9,ABROCET,Abrothallus cetrariae,Abrothallus cetrariae,FALSE,9
10,ABROMIC,Abrothallus microsperm,Abrothallus microspermus,FALSE,10
11,ABROPAR,Abrothallus parmelianu,Abrothallus parmelianus,FALSE,11
12,ABROPEY,Abrothallus peyritschi,Abrothallus peyritschii,FALSE,12
13,ABROPRO,Abrothallus prodiens,Abrothallus prodiens,FALSE,13
14,ABROUSN,Abrothallus usneae,Abrothallus usneae,FALSE,14
15,ABRO-SP,Abrothallus species,Abrothallus species,FALSE,15
16,ABSCANN,Absconditella annexa,Absconditella annexa,FALSE,16
17,ABSCDEL,Absconditella delutula,Absconditella delutula,FALSE,17
18,ABSCFOS,Absconditella fossarum,Absconditella fossarum,FALSE,18
19,ABSCLIG,Absconditell lignicola,Absconditella lignicola,FALSE,19
20,ABSCSPH,Absconditel sphagnorum,Absconditella sphagnorum,FALSE,20
21,ABSCTRI,Absconditell trivialis,Absconditella trivialis,FALSE,21
22,ABSC-SP,Absconditella species,Absconditella species,FALSE,22
23,ABUTTHE,Abutilon theophrasti,Abutilon theophrasti,FALSE,23
24,ABUT-SP,Abutilon species,Abutilon species,FALSE,24
25,ACALVIR,Acalypha virginica,Acalypha virginica,FALSE,25
26,ACAL-SP,Acalypha species,Acalypha species,FALSE,26
27,ACARADM,Acarospora admissa,Acarospora admissa,FALSE,27
28,ACARATR,Acarospora atrata,Acarospora atrata,FALSE,28
29,ACARAUS,Acarospora austriaca,Acarospora austriaca,FALSE,29
30,ACARBAD,Acarospora badiofusca,Acarospora badiofusca,FALSE,30
31,ACARB-B,Acaro badio ssp. badio,Acarospora badiofusca ssp. badiorubra,FALSE,31
32,ACARBUL,Acarospora bullata,Acarospora bullata,FALSE,32
33,ACARCER,Acarospora cervina,Acarospora cervina,FALSE,33
34,ACARC;C,Acaro cervi var. consp,Acarospora cervina var. conspersa,FALSE,34
35,ACARCOM,Acarospora complanata,Acarospora complanata,FALSE,35
36,ACARFRE,Acarospora freyi,Acarospora freyi,FALSE,36
37,ACARFUS,Acarospora fuscata,Acarospora fuscata,FALSE,37
38,ACARGAL,Acarospora gallica,Acarospora gallica,FALSE,38
39,ACARGLA,Acarospora glaucocarpa,Acarospora glaucocarpa,FALSE,39
40,ACARHEP,Acarospora heppii,Acarospora heppii,FALSE,40
41,ACARHEU,Acarospora heufleriana,Acarospora heufleriana,FALSE,41
42,ACARHOS,Acarospora hospitans,Acarospora hospitans,FALSE,42
43,ACARHOT,Acarospora hostilis,Acarospora hostilis,FALSE,43
44,ACARHUN,Acarospora hungarica,Acarospora hungarica,FALSE,44
45,ACARIMP,Acarospora impressula,Acarospora impressula,FALSE,45
46,ACARINS,Acarospora insolata,Acarospora insolata,FALSE,46
47,ACARINT,Acarospora intricata,Acarospora intricata,FALSE,47
48,ACARMAC,Acarospora macrospora,Acarospora macrospora,FALSE,48
49,ACARMEL,Acarospora melaphaca,Acarospora melaphaca,FALSE,49
50,ACARMIS,Acarospora miskoliensi,Acarospora miskoliensis,FALSE,50
51,ACARNIT,Acarospora nitrophila,Acarospora nitrophila,FALSE,51
52,ACARN;P,Acaro nitro var. praer,Acarospora nitrophila var. praeruptorum,FALSE,52
53,ACARN;S,Acaro nitro var. suzai,Acarospora nitrophila var. suzai,FALSE,53
