species,origin,redlist
x Dactylocamptis boudieri,native,NA
x Dactylocamptis luciae,native,NA
x Dactyloglossum drucei,native,NA
x Dactyloglossum erdingeri,native,NA
x Dactylogymnadenia comigera,native,NA
x Dactylogymnadenia gracilis,native,NA
x Festulolium braunii,neo,NA
x Festulolium holmbergii,native,NA
x Festulolium loliaceum,native,NA
x Gymnanacamptis anacamptis,native,NA
x Pseudadenia schweinfurthii,native,NA
x Pseudomatricaria rohlenae,NA,NA
x Pseudorhiza nieschalkii,native,NA
x Sorbaronia fallax,NA,NA
x Tripleurothemis maleolens,arch,NA
x Triticosecale rimpaui,NA,NA
Abies alba,native,C4a
Abies cephalonica,NA,NA
Abies concolor,neo,NA
Abies grandis,neo,NA
Abies homolepis,NA,NA
Abies nordmanniana,neo,NA
Abutilon theophrasti,neo,NA
Acacia farnesiana,NA,NA
Acaena microphylla,neo,NA
Acanthus hungaricus,neo,NA
Acer campestre,native,NA
Acer ginnala,neo,NA
Acer japonicum,NA,NA
Acer monspessulanum,neo,NA
Acer negundo,neo,NA
Acer palmatum,NA,NA
Acer platanoides,native,NA
Acer pseudoplatanus,native,NA
Acer saccharinum,neo,NA
Acer tataricum,neo,NA
Achillea x incognita,native,NA
Achillea asplenifolia,native,C1b
Achillea chrysocoma,NA,NA
Achillea collina,native,NA
Achillea collina x  A. pratensis,NA,NA
Achillea crithmifolia,neo,NA
Achillea filipendulina,neo,NA
Achillea millefolium,native,NA
Achillea millefolium agg.,native,NA
Achillea millefolium subsp. millefolium,native,NA
Achillea millefolium subsp. millefolium x  A. pratensis,NA,NA
Achillea millefolium subsp. sudetica,native,C4a
Achillea nobilis,native,C3
Achillea pannonica,native,C3
Achillea pratensis,native,NA
Achillea ptarmica,native,NA
Achillea setacea,native,C3
Achillea styriaca,native,C3
Achillea tomentosa,NA,NA
Achnatherum calamagrostis,neo,NA
Acinos arvensis,native,NA
Acinos arvensis subsp. arvensis,native,NA
Acinos arvensis subsp. eglandulosus,native,C4b
Aconitum x berdaui nothosubsp. walasii,NA,NA
Aconitum x cammarum,neo,NA
Aconitum x exaltatum,native,NA
Aconitum anthora,native,C3
Aconitum firmum,native,C2b
