RELEVE_NR,SPECIES_NR,COVER_CODE,LAYER,_ORIG_NAME
183111,2206,+,6,
183111,2315,1,7,
183111,3351,r,6,
183111,4283,1,6,
183111,4430,r,7,
183111,4577,r,6,
183111,5127,1,6,
183111,5137,+,6,
183111,5165,r,6,
183111,5353,r,6,
183111,6477,2b,6,
183111,6674,+,6,
183111,6696,+,6,
183111,8218,1,6,
183111,8851,4,1,
183111,8851,2a,7,
183111,11833,r,6,
183112,2013,r,6,
183112,3067,1,6,
183112,4283,2m,6,
183112,4568,+,6,
183112,4574,+,6,
183112,4577,+,6,
183112,5127,+,6,
183112,5137,1,6,
183112,6477,1,6,
183112,6674,2m,6,
183112,6696,+,6,
183112,8218,2m,6,
183112,8851,4,1,
183112,8851,2m,7,
183112,10106,r,6,
183112,11821,r,6,
183113,705,1,6,
183113,2315,2b,1,
183113,2315,+,7,
183113,3351,r,6,
183113,3794,r,6,
183113,4220,r,7,
183113,4283,r,6,
183113,4430,+,7,
183113,4614,r,6,
183113,5127,+,6,
183113,5137,1,6,
183113,5165,+,6,
183113,5352,r,6,
183113,5432,r,6,
183113,6710,r,6,
183113,8218,2m,6,
183113,8653,+,7,
183113,8851,3,1,
183113,8851,2a,7,
183113,10021,r,6,
183113,11833,r,6,
183113,12072,+,6,
183114,227,2m,6,
183114,247,+,6,
183114,1775,+,6,
183114,2235,+,6,
183114,4228,r,6,
183114,4283,2m,6,
183114,5127,+,6,
183114,5353,r,6,
183114,6477,1,6,
183114,6710,r,6,
183114,8218,2b,6,
183114,8375,+,6,
183114,8851,4,1,
183114,8851,1,7,
183114,12072,r,6,
183115,247,+,6,
183115,435,1,6,
183115,449,r,6,
183115,2250,+,6,
183115,4228,2m,6,
183115,4589,r,6,
183115,4709,1,6,
183115,5353,r,6,
183115,5680,1,6,
183115,6279,+,4,
183115,6279,+,7,
183115,6887,+,6,
183115,6999,+,6,
183115,8218,3,6,
183115,8375,+,6,
183115,8851,3,1,
183115,8851,2m,7,
183115,9408,+,4,
183115,9408,r,7,
183115,11644,r,6,
183115,12072,2m,6,
183115,12093,1,6,
183116,227,+,6,
183116,247,r,6,
183116,435,r,6,
183116,1778,r,6,
183116,2246,+,6,
183116,2250,r,6,
183116,3169,+,7,
183116,4228,1,6,
183116,4283,1,6,
183116,5353,+,6,
183116,6279,+,7,
183116,6887,+,6,
183116,8201,r,6,
183116,8218,3,6,
183116,8851,4,1,
183116,8851,2a,7,
183116,9408,+,7,
183116,9459,+,6,
183116,11288,r,7,
183116,11821,+,6,
183116,12072,1,6,
183116,12093,+,6,
183116,12109,1,6,
183117,227,+,6,
183117,1775,3,6,
183117,2246,2m,6,
183117,2248,2a,6,
183117,2250,+,6,
183117,3067,+,6,
183117,4275,1,6,
183117,4283,1,6,
183117,4419,+,6,
183117,4568,1,6,
183117,4574,+,6,
183117,4575,+,6,
183117,5730,+,6,
183117,6477,+,6,
183117,6693,1,6,
183117,8201,1,6,
183117,8218,2b,6,
183117,8851,3,1,
183117,8851,2m,7,
183117,9985,r,6,
183117,11287,3,1,
183117,11833,+,6,
183117,12056,r,6,
183117,12109,+,6,
183118,80,+,4,
183118,80,+,7,
183118,83,1,1,
183118,83,+,7,
183118,1048,+,6,
183118,1447,r,6,
183118,2013,+,6,
183118,2315,2b,1,
183118,2315,2a,4,
183118,2315,+,7,
183118,4111,1,4,
183118,4283,+,6,
183118,4589,+,6,
183118,5137,2m,6,
183118,5165,+,6,
183118,6386,+,4,
183118,6477,2m,6,
183118,8218,2m,6,
183118,8388,1,6,
183118,8851,3,1,
183118,8851,1,4,
183118,8851,1,7,
183118,10021,1,6,
183118,10563,1,6,
183118,10707,1,6,
183118,11287,1,4,
183118,11821,+,6,
183118,12072,+,6,
183119,2013,r,6,
183119,2235,1,6,
183119,2246,r,6,
183119,3169,r,7,
183119,3628,r,6,
183119,4111,1,7,
183119,4122,+,6,
183119,4283,+,6,
183119,4614,1,6,
183119,5353,+,6,
183119,6499,r,6,
183119,8218,3,6,
183119,8851,4,1,
183119,8851,3,7,
183119,9408,r,7,
183119,10707,+,6,
183119,11477,+,6,
183119,11783,+,6,
183119,12072,2a,6,
183120,83,r,7,
