RELEVE_NR,COUNTRY,REFERENCE,TABLE_NR,NR_IN_TAB,COVERSCALE,PROJECT,AUTHOR,DATE,SYNTAXON,SURF_AREA,UTM,ALTITUDE,EXPOSITION,INCLINATIO,COV_TOTAL,COV_TREES,COV_SHRUBS,COV_HERBS,COV_MOSSES,COV_LICHEN,COV_ALGAE,COV_LITTER,COV_WATER,COV_ROCK,TREE_HIGH,TREE_LOW,SHRUB_HIGH,SHRUB_LOW,HERB_HIGH,HERB_LOW,HERB_MAX,CRYPT_HIGH,MOSS_IDENT,LICH_IDENT,REMARKS,COORD_CODE,SYNTAX_OLD,RESURVEY,FOR_EVA,RS_PROJECT,RS_SITE,RS_PLOT,RS_OBSERV,PLOT_SHAPE,MANIPULATE,MANIPTYP,LOC_METHOD,DATA_OWNER,EVA_ACCESS,LONGITUDE,LATITUDE,PRECISION,LOCALITY,BIAS_MIN,BIAS_GPS,CEBA_GRID,FIELD_NR,HABITAT,GEOLOGY,SOIL,WATER_PH,S_PH_H2O,S_PH_KCL,S_PH_CACL2,SOIL_PH,CONDUCT,NR_ORIG,HLOUBK_CM,DNO,CEL_PLO_M2,ZAROST_PLO,ESY_CODE,ESY_NAME,COV_WOOD,SOIL_DPT,TRAMPLING,PLOT_TYPE,RS_CODE,RS_PROJTYP,RADIATION,HEAT,LES,NELES
183111,CZ,,,,02,,0832,20070702,LDA01,100.00,,458,150,24,-1,80,0,25,10,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,N,N,snimkovali Irena Vesela + David Zeleny; Hieracium sabaud,01,33AA01,,,,,,,,,,,,0,163420.00,492015.30,0,"Svinošice (Brno, Kuřim); 450 m SZ od středu obce",0,5,,2/2007,,,,0.00,4.22,3.24,0.00,0.00,0.0,0,,,0,0,?,,0,0,,,,,0.0000,0.000,0,0
183112,CZ,,,,02,,0832,20070702,LDA01,100.00,,414,150,13,-1,80,0,25,8,0,0,0,0,3,0,0,0.0,0.0,0,0,0,0,N,N,snimkovali Irena Vesela + David Zeleny; Orig. number=3,01,33AA01,,,,,,,,,,,,0,163345.80,492128.90,0,"Lažany (Brno, Kuřim); 1 km VSV od středu obce",0,6,,3/2007,,,,0.00,4.75,4.01,0.00,0.00,0.0,0,,,0,0,?,,0,0,,,,,0.0000,0.000,0,0
183113,CZ,,,,02,,0832,20070702,LDA,100.00,,379,210,21,-1,75,0,30,10,0,0,0,0,10,0,0,0.0,0.0,0,0,0,0,N,N,snimkovali Irena Vesela + David Zeleny; Hieracium sabaud,01,33AA,,,,,,,,,,,,0,162913.40,492126.40,0,Všechovice (Tišnov); 500 m Z od středu obce,0,10,,4/2007,,,,0.00,4.63,3.77,0.00,0.00,0.0,0,,,0,0,LCC01,Sorbo torminalis-Quercetum,0,0,,,,,0.0000,0.000,0,0
183114,CZ,,,,02,,0832,20070703,LDA01,100.00,,374,,0,-1,70,0,35,8,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,N,N,snimkovali Irena Vesela + David Zeleny; Orig. number=5,01,33AA01,,,,,,,,,,,,0,162137.80,490210.20,0,"Vedrovice (Moravský Krumlov), Krumlovský les; 2,2 km SZ od středu obce",0,6,,5/2007,,,,0.00,4.36,3.50,0.00,0.00,0.0,0,,,0,0,?,,0,0,,,,,0.0000,0.000,0,0
183115,CZ,,,,02,,0832,20070703,LDA,100.00,,380,170,10,-1,65,1,60,3,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,N,N,snimkovali Irena Vesela + David Zeleny; Orig. number=6,01,33AA,,,,,,,,,,,,0,162128.30,490203.10,0,"Vedrovice (Moravský Krumlov), Krumlovský les; 2,1 km SZ od středu obce",0,5,,6/2007,,,,0.00,4.62,3.80,0.00,0.00,0.0,0,,,0,0,?,,0,0,,,,,0.0000,0.000,0,0
183116,CZ,,,,02,,0832,20070703,LD,100.00,,373,65,6,-1,65,0,70,5,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,N,N,snimkovali Irena Vesela + David Zeleny; Viola reichenbac,01,32,,,,,,,,,,,,0,162117.20,490158.50,0,"Vedrovice (Moravský Krumlov), Krumlovský les; 2,2 km SZ od středu obce",0,6,,7/2007,,,,0.00,4.28,3.48,0.00,0.00,0.0,0,,,0,0,?,,0,0,,,,,0.0000,0.000,0,0
183117,CZ,,,,02,,0832,20070703,LBB,100.00,,390,,0,-1,85,0,70,5,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,N,N,snimkovali Irena Vesela + David Zeleny; Viola reichenbac,01,32AB,,,,,,,,,,,,0,162348.70,490253.30,0,"Vedrovice (Moravský Krumlov), Krumlovský les; 3,3 km SSV od středu obce",0,14,,8/2007,,,,0.00,4.48,3.68,0.00,0.00,0.0,0,,,0,0,?,,0,0,,,,,0.0000,0.000,0,0
183118,CZ,,,,02,,0832,20070711,LB,100.00,,255,80,38,-1,80,20,15,10,0,0,0,0,15,0,0,0.0,0.0,0,0,0,0,N,N,snimkovali Irena Vesela + David Zeleny; Orig. number=9,01,32,,,,,,,,,,,,0,161734.70,490729.50,0,"Čučice (Oslavany), Přírodní park Oslava; 1,7 km JV od středu obce",0,6,,9/2007,,,,0.00,5.16,4.24,0.00,0.00,0.0,0,,,0,0,?,,0,0,,,,,0.0000,0.000,0,0
183119,CZ,,,,02,,0832,20070711,LCA,100.00,,340,220,13,-1,70,0,75,3,0,0,0,0,1,0,0,0.0,0.0,0,0,0,0,N,N,snimkovali Irena Vesela + David Zeleny; Orig. number=10,01,32BA,,,,,,,,,,,,0,161622.40,490742.40,0,"Čučice (Oslavany), Přírodní park Oslava; 1 km JJZ od středu obce",0,4,,10/2007,,,,0.00,4.92,4.01,0.00,0.00,0.0,0,,,0,0,?,,0,0,,,,,0.0000,0.000,0,0
183120,CZ,,,,02,,0832,20070711,LB,100.00,,368,95,29,-1,85,15,8,5,0,0,0,0,10,0,0,0.0,0.0,0,0,0,0,N,N,snimkovali Irena Vesela + David Zeleny; Orig. number=11,01,32,,,,,,,,,,,,0,161507.00,490813.60,0,"Senorady (Oslavany), Přírodní park Oslava; 1,2 km SSV od středu obce",0,5,,11/2007,,,,0.00,4.52,3.83,0.00,0.00,0.0,0,,,0,0,?,,0,0,,,,,0.0000,0.000,0,0
183121,CZ,,,,02,,0832,20070711,LDA01,100.00,,356,200,38,-1,45,1,75,20,0,0,0,0,20,0,0,0.0,0.0,0,0,0,0,Y,Y,snimkovali Irena Vesela + David Zeleny; Hieracium schmid,01,33AA01,,,,,,,,,,,,0,161506.00,490801.10,0,"Senorady (Oslavany), Přírodní park Oslava; 1,5 km SSV od středu obce",0,5,,12/2007,,,,0.00,4.26,3.61,0.00,0.00,0.0,0,,,0,0,?,,0,0,,,,,0.0000,0.000,0,0
183122,CZ,,,,02,,0832,20070712,LDA01,100.00,,427,170,27,-1,70,0,40,3,0,0,0,0,8,0,0,0.0,0.0,0,0,0,0,N,N,snimkovali Irena Vesela + David Zeleny; Orig. number=13,01,33AA01,,,,,,,,,,,,0,160932.90,491322.10,0,Jedov (Náměšť n. Oslavou); 400 m JJV od středu obce,0,5,,13/2007,,,,0.00,5.34,4.66,0.00,0.00,0.0,0,,,0,0,?,,0,0,,,,,0.0000,0.000,0,0
183123,CZ,,,,02,,0832,20070807,LBB,100.00,,353,130,7,-1,65,2,60,5,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,N,N,snimkovali Irena Vesela + David Zeleny; Orig. number=41,01,32AB,,,,,,,,,,,,0,162741.20,490820.50,0,"Radostice (Brno), Přírodní park Doubrava; 1,3 km ZSZ od středu obce",0,6,,41/2007,,,,0.00,4.32,3.34,0.00,0.00,0.0,0,,,0,0,?,,0,0,,,,,0.0000,0.000,0,0
183124,CZ,,,,02,,0832,20070807,LDA,100.00,,345,310,22,-1,70,1,40,30,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,N,N,snimkovali Irena Vesela + David Zeleny; Orig. number=42,01,33AA,,,,,,,,,,,,0,162758.20,490918.50,0,"Střelice (Brno); 1,4 km  Z od části obce U nádraží",0,6,,42/2007,,,,0.00,4.43,3.53,0.00,0.00,0.0,0,,,0,0,?,,0,0,,,,,0.0000,0.000,0,0
183125,CZ,,,,02,,0832,20070808,LBB03,100.00,,309,130,9,-1,80,12,60,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,N,N,snimkovali Irena Vesela + David Zeleny; Orig. number=43,01,32AB02,,,,,,,,,,,,0,163057.80,491243.50,0,"Brno, Žebětín; 1,7 km J od jižního konce Brněnské přehrady",0,5,,43/2007,,,,0.00,4.85,3.90,0.00,0.00,0.0,0,,,0,0,LBB03,Carici pilosae-Carpinetum betuli,0,0,,,,,0.0000,0.000,0,0
183126,CZ,,,,02,,0832,20070808,LCC01,100.00,,359,270,21,-1,55,0,45,5,0,0,0,0,3,0,0,0.0,0.0,0,0,0,0,N,N,snimkovali Irena Vesela + David Zeleny; Orig. number=44,01,32BA03,,,,,,,,,,,,0,163207.60,491108.00,0,"Brno, Kohoutovice; 800 m J od kostela",0,11,,44/2007,,,,0.00,4.45,3.50,0.00,0.00,0.0,0,,,0,0,LCC01,Sorbo torminalis-Quercetum,0,0,,,,,0.0000,0.000,0,0
183127,CZ,,,,02,,0832,20070808,LDA01,100.00,,339,50,25,-1,85,0,20,1,0,0,0,0,1,0,0,0.0,0.0,0,0,0,0,N,N,snimkovali Irena Vesela + David Zeleny; Orig. number=45,01,33AA01,,,,,,,,,,,,0,163305.30,491131.70,0,"Brno, Kohoutovice, Masarykův háj; 1,1 km V od kostela",0,8,,45/2007,,,,0.00,4.36,3.50,0.00,0.00,0.0,0,,,0,0,?,,0,0,,,,,0.0000,0.000,0,0
